id_test,accepted_binomial,EUNIS_name,original_name,contributor_name,contributor_email,cocontributors,doi,collection_year,collection_site,collection_country,iso_code,latitude,longitude,coordinate_accuracy,storage,substrate,experiment_length,scarification,stratification,other_treatments,water_potential,photoperiod,light_quality,T_day,T_night,seeds_sown,seeds_germinated,changed
467,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Azraq,Jordan,JO,31.76666667,36.55,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,8,4,150,146,
468,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Azraq,Jordan,JO,31.76666667,36.55,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,20,10,150,141,
469,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Azraq,Jordan,JO,31.76666667,36.55,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,32,20,150,146,
470,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Tafila,Jordan,JO,30.533333,35.616667,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,8,4,150,144,
471,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Tafila,Jordan,JO,30.533333,35.616667,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,20,10,150,144,
472,Achnatherum parviflorum,Stipa parviflora,Stipa parviflora,,,,10.1111/j.1442-1984.2009.00247.x,2007,Tafila,Jordan,JO,30.533333,35.616667,1.00E+05,fresh_20°C_1 month,paper,61,none,none,none,0,12,white,32,20,150,131,
1065,Aegilops geniculata,Aegilops geniculata,Aegilops geniculata,,,,10.1080/07929978.1996.10676630,1993,"Orcia Valley, Tuscany",Italy,IT,43.080421,11.647167,1.00E+05,stored_23°C;35%RH;darkness,paper,30,none,none,none,0,10,white,17,11,150,145,
1097,Aegilops neglecta,Aegilops geniculata,Triticum ovatum,,,,10.1111/rec.12608,nd,Sp 23 Regalbuto (EN),Italy,IT,37.6095,14.67348333,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,0,none,5,5,100,88,
1105,Aegilops neglecta,Aegilops geniculata,Triticum ovatum,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.53533333,15.06511667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,0,none,15,15,100,98,
1113,Aegilops neglecta,Aegilops geniculata,Triticum ovatum,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.53533333,15.06511667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,0,none,25,25,100,95,
1121,Aegilops neglecta,Aegilops geniculata,Triticum ovatum,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.53533333,15.06511667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,12,white,15,15,100,98,
4889,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,,,,10.7320/FlMedit30.408,2019,"Polizzi Generosa (Palermo), Serre Quacella",Italy,IT,37.847111,14.015573,100,stored_22°C_8 months,paper,nd,none,none,none,0,0,none,15,15,100,100,
4890,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,,,,10.7320/FlMedit30.408,2019,"Polizzi Generosa (Palermo), Serre Quacella",Italy,IT,37.847111,14.015573,100,stored_22°C_8 months,paper,nd,none,none,none,0,0,none,20,20,100,100,
4891,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,,,,10.7320/FlMedit30.408,2019,"Polizzi Generosa (Palermo), Serre Quacella",Italy,IT,37.847111,14.015573,100,stored_22°C_8 months,paper,nd,none,none,none,0,0,none,25,25,100,100,
4892,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,,,,10.7320/FlMedit30.408,2019,"Polizzi Generosa (Palermo), Serre Quacella",Italy,IT,37.847111,14.015573,100,stored_22°C_8 months,paper,nd,none,none,none,0,12,white,15,15,100,98,
4893,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,,,,10.7320/FlMedit30.408,2019,"Polizzi Generosa (Palermo), Serre Quacella",Italy,IT,37.847111,14.015573,100,stored_22°C_8 months,paper,nd,none,none,none,0,12,white,20,20,100,92,
4894,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,,,,10.7320/FlMedit30.408,2019,"Polizzi Generosa (Palermo), Serre Quacella",Italy,IT,37.847111,14.015573,100,stored_22°C_8 months,paper,nd,none,none,none,0,12,white,25,25,100,94,
2514,Allium sphaerocephalon,Allium sphaerocephalon,Allium sphaerocephalon,,,,10.3390/su14052641,2017,Castelmagno (CN),Italy,IT,44.39,7.122,1000,stored_4°C_1 year,paper,nd,none,none,none,0,0,none,25,25,100,0,
2520,Allium sphaerocephalon,Allium sphaerocephalon,Allium sphaerocephalon,,,,10.3390/su14052641,2017,Castelmagno (CN),Italy,IT,44.39,7.122,1000,stored_4°C_1 year,paper,nd,none,none,none,0,12,white,25,25,100,23,
1090,Anacyclus clavatus,Anacyclus clavatus,Anacyclus clavatus,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.52836667,15.06921667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,0,none,5,5,100,93,
1098,Anacyclus clavatus,Anacyclus clavatus,Anacyclus clavatus,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.52836667,15.06921667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,0,none,15,15,100,68,
1106,Anacyclus clavatus,Anacyclus clavatus,Anacyclus clavatus,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.52836667,15.06921667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,0,none,25,25,100,58,
1114,Anacyclus clavatus,Anacyclus clavatus,Anacyclus clavatus,,,,10.1111/rec.12608,nd,Catania,Italy,IT,37.52836667,15.06921667,10000,stored_20°C;40%RH,paper,nd,none,none,none,0,12,white,15,15,100,98,
604,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,doi.org/10.1007/s12224-019-09349-0,2012,southwestern Anatolia,Turkey,TR,37.68333333,27.18333333,100,stored_20°C;50%RH;darkness_4 months,agar,62,none,none,none,0,0,none,20,20,100,21,
605,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,doi.org/10.1007/s12224-019-09349-0,2012,southwestern Anatolia,Turkey,TR,37.68333333,27.18333333,100,stored_20°C;50%RH;darkness_4 months,agar,62,heat_60°C_5 min,none,none,0,0,none,20,20,100,16,
606,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,doi.org/10.1007/s12224-019-09349-0,2012,southwestern Anatolia,Turkey,TR,37.68333333,27.18333333,100,stored_20°C;50%RH;darkness_4 months,agar,62,heat_80°C_5 min,none,none,0,0,none,20,20,100,14,
607,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,doi.org/10.1007/s12224-019-09349-0,2012,southwestern Anatolia,Turkey,TR,37.68333333,27.18333333,100,stored_20°C;50%RH;darkness_4 months,agar,62,heat_100°C_5 min,none,none,0,0,none,20,20,100,14,
608,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,doi.org/10.1007/s12224-019-09349-0,2012,southwestern Anatolia,Turkey,TR,37.68333333,27.18333333,100,stored_20°C;50%RH;darkness_4 months,agar,62,heat_120°C_5 min,none,none,0,0,none,20,20,100,25,
609,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,doi.org/10.1007/s12224-019-09349-0,2012,southwestern Anatolia,Turkey,TR,37.68333333,27.18333333,100,stored_20°C;50%RH;darkness_4 months,agar,62,heat_140°C_5 min,none,none,0,0,none,20,20,100,32,
4321,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Corbera (V: Valencia),Spain,ES,39.15809972,-0.353069159,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4322,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Corbera (V: Valencia),Spain,ES,39.15809972,-0.353069159,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,40,
4323,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Gandia (Valencia),Spain,ES,38.96801107,-0.184469666,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,1,
4324,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Gandia (Valencia),Spain,ES,38.96801107,-0.184469666,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,19,
4319,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Elvas,Portugal,PT,38.89222815,-7.158499051,5.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4320,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Elvas,Portugal,PT,38.89222815,-7.158499051,5.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,45,
4343,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Elvas,Portugal,PT,38.89222815,-7.158499051,5.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,2,
4344,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Elvas,Portugal,PT,38.89222815,-7.158499051,5.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,47,
4313,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2002,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,1,
4314,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2002,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,30,
4317,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4318,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,25,
4339,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4340,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,43,
4355,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2006,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,4,
4356,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2006,Ba1: La Silverina (Ba:Bajadoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,endozoocory_sheep,none,none,0,12.5,white,29.4,16.7,50,24,
4341,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,La Sancha (Badajoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,3,
4342,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,La Sancha (Badajoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,46,
4351,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,La Sancha (Badajoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,stored_opaque envelopes_2 years,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,3,
4352,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,La Sancha (Badajoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,stored_opaque envelopes_2 years,paper,nd,endozoocory_sheep,none,none,0,12.5,white,29.4,16.7,50,5,
4353,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2005,La Sancha (Badajoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,stored_opaque envelopes_1 year,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,3,
4354,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2005,La Sancha (Badajoz),Spain,ES,38.87916132,-6.971342715,1.00E+05,stored_opaque envelopes_1 year,paper,nd,endozoocory_sheep,none,none,0,12.5,white,29.4,16.7,50,8,
4325,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Vall de Gallinera (Alicante),Spain,ES,38.83128459,-0.235223162,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4326,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Vall de Gallinera (Alicante),Spain,ES,38.83128459,-0.235223162,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,43,
4327,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Gata de Gorgos (Alicante),Spain,ES,38.77480176,8.09E-02,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,2,
4328,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Gata de Gorgos (Alicante),Spain,ES,38.77480176,8.09E-02,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,28,
4329,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Guadalest (Alicante),Spain,ES,38.67700202,-0.197155101,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4330,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Guadalest (Alicante),Spain,ES,38.67700202,-0.197155101,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,45,
4331,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Las Pajanosas (Seville),Spain,ES,37.58448458,-6.100505866,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,5,
4332,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Las Pajanosas (Seville),Spain,ES,37.58448458,-6.100505866,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,43,
4337,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Zahara de la Sierra-Algodonales (Cadiz),Spain,ES,36.86786883,-5.446287635,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4338,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Zahara de la Sierra-Algodonales (Cadiz),Spain,ES,36.86786883,-5.446287635,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,46,
4335,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Zahara de la Sierra (Cadiz),Spain,ES,36.85085785,-5.424290505,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,2,
4336,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Zahara de la Sierra (Cadiz),Spain,ES,36.85085785,-5.424290505,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,45,
4345,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Zahara de la Sierra (Cadiz),Spain,ES,36.85085785,-5.424290505,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,2,
4346,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Zahara de la Sierra (Cadiz),Spain,ES,36.85085785,-5.424290505,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,49,
4347,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Villaluenga del Rosario (Cadiz),Spain,ES,36.68533414,-5.343739,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,4,
4348,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Villaluenga del Rosario (Cadiz),Spain,ES,36.68533414,-5.343739,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,42,
4349,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Villaluenga del Rosario (Cadiz),Spain,ES,36.68533414,-5.343739,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,1,
4350,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2004,Villaluenga del Rosario (Cadiz),Spain,ES,36.68533414,-5.343739,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,46,
4315,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2002,Ma1: Cortes de la Frontera (Ma: Malaga),Spain,ES,36.6173234,-5.341938628,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,2,
4316,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2002,Ma1: Cortes de la Frontera (Ma: Malaga),Spain,ES,36.6173234,-5.341938628,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,46,
4333,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Ma1: Cortes de la Frontera (Ma: Malaga),Spain,ES,36.6173234,-5.341938628,1.00E+05,fresh,paper,nd,none,none,none,0,12.5,white,29.4,16.7,50,0,
4334,Anagyris foetida,Anagyris foetida,Anagyris foetida,,,,10.1007/s00606-008-0067-2,2003,Ma1: Cortes de la Frontera (Ma: Malaga),Spain,ES,36.6173234,-5.341938628,1.00E+05,fresh,paper,nd,mechanical,none,none,0,12.5,white,29.4,16.7,50,31,
4051,Anchusa crispa,Anchusa crispa,Anchusa crispa,,,,10.1007/s11829-018-9619-8,2009,Portigliolo_Cannella,France,FR,41.79546769,8.740786574,5.00E+05,fresh,sand,60,none,none,none,0,12,white,18,18,57,21,
4052,Anchusa crispa,Anchusa crispa,Anchusa crispa,,,,10.1007/s11829-018-9619-8,2009,Portigliolo_Cannella,France,FR,41.79546769,8.740786574,5.00E+05,fresh,sand,60,none,none,seeds were deposited for 72 h in a foraging arena connected to an artificial nest containing an Argentine ant colony,0,12,white,18,18,55,28,
4801,Anthemis maritima,Anthemis maritima,Anthemis maritima,,,,10.1007/s10661-013-3365-2,nd,"obtained commercially, from a supplier of salt-tolerant plants (Phytosem, Gap, France)",France,FR,44.501007,6.04365,500,stored_purchased,other,19,none,none,none,0,0,none,20.5,20.5,69,6,
3413,Anthemis maritima,Anthemis maritima,Anthemis maritima,,,,10.7320/FlMedit29.288,2014,"Domus de Maria (Sud Sardegna), loc. Porto Campana, Chia",Italy,IT,38.887864,8.868983,100,banked_germplasm,agar,35,none,none,none,0,12,white,20,20,60,50,
1522,Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,,,,10.1007/s11258-008-9532-9,nd,Montpellier,France,FR,43.64086,3.883447,10000,stored_room conditions_7 months,paper,80,none,none,none,0,16,white,24,16,125,4,
1523,Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,,,,10.1007/s11258-008-9532-9,nd,Montpellier,France,FR,43.64086,3.883447,10000,stored_room conditions_7 months,paper,80,none,none,smoke-5 min,0,16,white,24,16,125,6,
1524,Anthyllis vulneraria,Anthyllis vulneraria,Anthyllis vulneraria,,,,10.1007/s11258-008-9532-9,nd,Montpellier,France,FR,43.64086,3.883447,10000,stored_room conditions_7 months,paper,80,none,none,smoke-10 min,0,16,white,24,16,125,2,
